Neighborhood,Column,Outlier Value
BU15071100,a_vrouw,324.99999999999994
BU02220911,p_ste,22.0
BU05310501,p_ste,22.0
BU09710004,p_ste,22.0
BU01580051,a_hh,225.0
BU00720200,g_hhgro,2.3
BU00740104,g_hhgro,2.1
BU00740106,g_hhgro,2.0
BU00740402,g_hhgro,2.2
BU00801007,g_hhgro,1.3
BU01094040,g_hhgro,2.3
BU01140801,g_hhgro,2.3
BU01141300,g_hhgro,2.3
BU01185000,g_hhgro,1.5
BU01530604,g_hhgro,2.2
BU01530605,g_hhgro,2.3
BU01530802,g_hhgro,2.2
BU01530901,g_hhgro,2.2
BU01580003,g_hhgro,2.0
BU01580010,g_hhgro,2.2
BU01640301,g_hhgro,2.5
BU01710101,g_hhgro,1.8
BU01710837,g_hhgro,3.0
BU01931210,g_hhgro,1.7
BU01931400,g_hhgro,1.6
BU01932230,g_hhgro,3.0
BU02000306,g_hhgro,2.4
BU02000403,g_hhgro,2.0
BU02035404,g_hhgro,2.5
BU02035961,g_hhgro,2.6
BU02036070,g_hhgro,2.8
BU02090271,g_hhgro,2.0
BU02130300,g_hhgro,2.0
BU02140306,g_hhgro,2.5
BU02220602,g_hhgro,2.0
BU02280307,g_hhgro,2.5
BU02431001,g_hhgro,2.5
BU02460000,g_hhgro,2.2
BU02690002,g_hhgro,2.9
BU02940001,g_hhgro,2.1
BU02940002,g_hhgro,2.5
BU02940003,g_hhgro,2.3
BU02940120,g_hhgro,2.2
BU02990006,g_hhgro,2.3
BU03010202,g_hhgro,2.0
BU03010300,g_hhgro,2.3
BU03030103,g_hhgro,2.8
BU03030322,g_hhgro,2.2
BU03030431,g_hhgro,2.5
BU03030605,g_hhgro,2.0
BU03070301,g_hhgro,2.2
BU03071704,g_hhgro,2.3
BU03120100,g_hhgro,2.2
BU03270105,g_hhgro,2.2
BU03400105,g_hhgro,2.2
BU03420601,g_hhgro,2.2
BU03420804,g_hhgro,2.0
BU03440342,g_hhgro,2.2
BU03440511,g_hhgro,1.4
BU03440625,g_hhgro,1.4
BU03440628,g_hhgro,1.4
BU03440831,g_hhgro,2.0
BU03441024,g_hhgro,2.6
BU03530005,g_hhgro,2.0
BU03550301,g_hhgro,2.3
BU03550406,g_hhgro,2.2
BU03730112,g_hhgro,2.0
BU03730702,g_hhgro,2.0
BU03770002,g_hhgro,1.5
BU03770300,g_hhgro,2.1
BU03830001,g_hhgro,2.1
BU03830211,g_hhgro,2.3
BU03830721,g_hhgro,2.3
BU03940103,g_hhgro,2.5
BU03940107,g_hhgro,2.3
BU03940108,g_hhgro,2.1
BU03940564,g_hhgro,2.3
BU03941567,g_hhgro,2.2
BU03960601,g_hhgro,2.0
BU03960602,g_hhgro,2.2
BU03990502,g_hhgro,2.4
BU04000807,g_hhgro,2.0
BU04051002,g_hhgro,1.5
BU04051102,g_hhgro,2.0
BU04052008,g_hhgro,2.2
BU04052103,g_hhgro,2.0
BU04310000,g_hhgro,2.2
BU04390101,g_hhgro,1.6
BU04530002,g_hhgro,2.0
BU04530203,g_hhgro,2.3
BU04530206,g_hhgro,1.8
BU04530406,g_hhgro,2.2
BU04530702,g_hhgro,2.1
BU04530801,g_hhgro,2.2
BU04840103,g_hhgro,2.5
BU04891328,g_hhgro,3.1
BU05031206,g_hhgro,1.5
BU05050102,g_hhgro,1.4
BU05050705,g_hhgro,2.5
BU05050800,g_hhgro,2.0
BU05180772,g_hhgro,1.9
BU05181041,g_hhgro,2.0
BU05183637,g_hhgro,2.0
BU05184002,g_hhgro,2.7
BU05460404,g_hhgro,2.1
BU05460405,g_hhgro,2.0
BU05991081,g_hhgro,2.0
BU06130308,g_hhgro,2.1
BU06270302,g_hhgro,2.2
BU06290002,g_hhgro,2.5
BU06320305,g_hhgro,2.7
BU06420102,g_hhgro,2.0
BU06640109,g_hhgro,2.2
BU07170200,g_hhgro,2.0
BU07170900,g_hhgro,2.3
BU07171200,g_hhgro,2.1
BU07480100,g_hhgro,2.1
BU07480202,g_hhgro,2.3
BU07480204,g_hhgro,2.2
BU07480401,g_hhgro,2.3
BU07480500,g_hhgro,2.3
BU07580001,g_hhgro,1.5
BU07580005,g_hhgro,1.6
BU07580104,g_hhgro,2.1
BU07580400,g_hhgro,2.0
BU07850710,g_hhgro,2.5
BU07941500,g_hhgro,2.0
BU07941600,g_hhgro,2.3
BU08200100,g_hhgro,2.5
BU08450000,g_hhgro,2.3
BU08580101,g_hhgro,2.5
BU08660001,g_hhgro,2.0
BU08730200,g_hhgro,2.3
BU08890000,g_hhgro,2.1
BU09171301,g_hhgro,2.3
BU09173100,g_hhgro,2.1
BU09280004,g_hhgro,2.0
BU09280204,g_hhgro,2.0
BU09350205,g_hhgro,2.0
BU09380206,g_hhgro,2.2
BU09460101,g_hhgro,2.1
BU09570000,g_hhgro,1.5
BU09570200,g_hhgro,2.0
BU09570302,g_hhgro,2.0
BU09570802,g_hhgro,2.5
BU09810000,g_hhgro,2.3
BU09831302,g_hhgro,1.7
BU09832302,g_hhgro,2.0
BU09833101,g_hhgro,2.3
BU09834401,g_hhgro,2.3
BU09860101,g_hhgro,2.1
BU09882501,g_hhgro,2.2
BU15090102,g_hhgro,2.5
BU15810000,g_hhgro,2.2
BU15810001,g_hhgro,1.8
BU15860105,g_hhgro,1.5
BU15860111,g_hhgro,2.8
BU15860607,g_hhgro,2.5
BU16212511,g_hhgro,2.7
BU16213231,g_hhgro,2.5
BU16550303,g_hhgro,2.5
BU16741000,g_hhgro,2.2
BU16761300,g_hhgro,2.0
BU16801700,g_hhgro,2.3
BU16900209,g_hhgro,2.8
BU16960601,g_hhgro,2.2
BU17010809,g_hhgro,2.0
BU17140209,g_hhgro,2.2
BU17310200,g_hhgro,2.3
BU17310600,g_hhgro,2.3
BU17350500,g_hhgro,2.3
BU17350900,g_hhgro,2.5
BU17730112,g_hhgro,2.3
BU17730218,g_hhgro,2.6
BU18760100,g_hhgro,2.3
BU18760207,g_hhgro,2.5
BU18760403,g_hhgro,2.4
BU18760406,g_hhgro,2.5
BU18830001,g_hhgro,2.0
BU18830401,g_hhgro,2.3
BU18840000,g_hhgro,2.3
BU18840400,g_hhgro,2.1
BU18950604,g_hhgro,2.5
BU18951000,g_hhgro,2.0
BU00500008,bev_dich,8.0
BU01140709,bev_dich,16.0
BU01800209,bev_dich,8.0
BU02690210,bev_dich,8.0
BU03030550,bev_dich,9.0
BU07650109,bev_dich,9.0
BU16801709,bev_dich,9.0
BU16802109,bev_dich,9.0
BU17010409,bev_dich,4.0
BU17141309,bev_dich,10.0
BU18910309,bev_dich,12.0
BU18950209,bev_dich,9.0
BU19001307,bev_dich,13.0
BU00590008,a_woning,95.0
BU01069900,a_woning,109.0
BU01470006,a_woning,1283.0
BU01580050,a_woning,229.0
BU01630603,a_woning,163.0
BU01935150,a_woning,1191.0
BU02000502,a_woning,1335.0
BU02210104,a_woning,1254.0
BU02281101,a_woning,1341.0
BU02431207,a_woning,756.0
BU02930003,a_woning,902.0
BU03530023,a_woning,208.0
BU03730105,a_woning,147.0
BU03940235,a_woning,1643.0
BU04000808,a_woning,197.0
BU04060818,a_woning,1363.0
BU04891533,a_woning,756.0
BU04893054,a_woning,65.0
BU05990457,a_woning,199.0
BU06270102,a_woning,494.0
BU06420111,a_woning,328.0
BU06780200,a_woning,195.0
BU07030401,a_woning,68.0
BU08091031,a_woning,222.0
BU08260301,a_woning,737.0
BU08520002,a_woning,1035.0
BU08520010,a_woning,50.0
BU09172000,a_woning,210.0
BU09173603,a_woning,87.0
BU09280102,a_woning,1173.0
BU09834103,a_woning,139.0
BU09882403,a_woning,69.0
BU15070405,a_woning,147.0
BU15090201,a_woning,69.0
BU15860104,a_woning,927.0
BU15860110,a_woning,191.0
BU16740702,a_woning,1314.0
BU16990320,a_woning,84.0
BU17090701,a_woning,85.0
BU17310001,a_woning,80.0
BU17310409,a_woning,29.0
BU17830402,a_woning,1161.0
BU18760404,a_woning,131.0
BU18950801,a_woning,65.0
BU00470109,p_1gezw,100.0
BU00470200,p_1gezw,83.0
BU01094040,p_1gezw,92.0
BU01140801,p_1gezw,82.0
BU01140807,p_1gezw,99.0
BU01145100,p_1gezw,95.0
BU01530500,p_1gezw,77.0
BU01530801,p_1gezw,73.0
BU01530900,p_1gezw,94.0
BU01530901,p_1gezw,89.0
BU01630106,p_1gezw,95.0
BU01630302,p_1gezw,75.0
BU01630304,p_1gezw,97.0
BU01630603,p_1gezw,27.000000000000007
BU01660008,p_1gezw,83.0
BU01710219,p_1gezw,95.0
BU01710734,p_1gezw,96.0
BU01800309,p_1gezw,84.0
BU01800400,p_1gezw,96.0
BU01840007,p_1gezw,86.0
BU01931320,p_1gezw,73.0
BU01932200,p_1gezw,88.0
BU01933130,p_1gezw,92.0
BU01935000,p_1gezw,92.0
BU01935080,p_1gezw,95.0
BU01970408,p_1gezw,85.0
BU02000301,p_1gezw,93.0
BU02001303,p_1gezw,98.0
BU02035412,p_1gezw,79.0
BU02140100,p_1gezw,92.0
BU02140209,p_1gezw,92.0
BU02140408,p_1gezw,94.0
BU02220712,p_1gezw,92.0
BU02221104,p_1gezw,94.0
BU02223108,p_1gezw,96.0
BU02430602,p_1gezw,98.0
BU02460108,p_1gezw,84.0
BU02520006,p_1gezw,92.0
BU02520107,p_1gezw,100.0
BU02620400,p_1gezw,83.0
BU02620406,p_1gezw,83.0
BU02630008,p_1gezw,98.0
BU02630100,p_1gezw,89.0
BU02630200,p_1gezw,90.0
BU02690103,p_1gezw,96.0
BU02850100,p_1gezw,70.0
BU02850106,p_1gezw,95.0
BU02930002,p_1gezw,90.0
BU02960100,p_1gezw,100.0
BU02960103,p_1gezw,88.0
BU02960104,p_1gezw,98.0
BU02960700,p_1gezw,100.0
BU02970101,p_1gezw,95.0
BU02970103,p_1gezw,96.0
BU02970203,p_1gezw,83.0
BU02990006,p_1gezw,77.0
BU02990400,p_1gezw,95.0
BU03010104,p_1gezw,67.0
BU03010202,p_1gezw,66.0
BU03010401,p_1gezw,96.0
BU03030211,p_1gezw,81.0
BU03270201,p_1gezw,83.0
BU03350200,p_1gezw,97.0
BU03441014,p_1gezw,99.0
BU03730600,p_1gezw,83.0
BU03770003,p_1gezw,89.0
BU03770401,p_1gezw,89.0
BU03940236,p_1gezw,87.0
BU03940564,p_1gezw,95.0
BU03940781,p_1gezw,97.0
BU04000101,p_1gezw,82.0
BU04000206,p_1gezw,87.0
BU04051202,p_1gezw,73.0
BU04052105,p_1gezw,83.0
BU04053001,p_1gezw,86.0
BU04053104,p_1gezw,87.0
BU04053305,p_1gezw,91.0
BU04053502,p_1gezw,90.0
BU04480004,p_1gezw,90.0
BU04530605,p_1gezw,75.0
BU04530700,p_1gezw,92.0
BU04820104,p_1gezw,95.0
BU04820203,p_1gezw,86.0
BU04890614,p_1gezw,74.0
BU05031108,p_1gezw,64.0
BU05031203,p_1gezw,38.0
BU05050204,p_1gezw,76.0
BU05050303,p_1gezw,95.0
BU05050908,p_1gezw,68.0
BU05051103,p_1gezw,99.0
BU05051106,p_1gezw,86.0
BU05120200,p_1gezw,90.0
BU05121200,p_1gezw,100.0
BU05181143,p_1gezw,13.0
BU05182144,p_1gezw,11.0
BU05182245,p_1gezw,11.0
BU05182561,p_1gezw,8.0
BU05182569,p_1gezw,9.0
BU05420003,p_1gezw,76.0
BU05460405,p_1gezw,67.0
BU05991446,p_1gezw,85.0
BU06320201,p_1gezw,94.0
BU06420209,p_1gezw,86.0
BU06420504,p_1gezw,90.0
BU06420804,p_1gezw,74.0
BU06680700,p_1gezw,94.0
BU07170500,p_1gezw,89.0
BU07170909,p_1gezw,98.0
BU07480402,p_1gezw,98.0
BU07530008,p_1gezw,80.0
BU07550109,p_1gezw,93.0
BU07580505,p_1gezw,97.0
BU07650000,p_1gezw,86.0
BU07790201,p_1gezw,71.0
BU07850710,p_1gezw,99.0
BU07941202,p_1gezw,81.0
BU07941400,p_1gezw,98.0
BU07941402,p_1gezw,84.0
BU08091015,p_1gezw,90.0
BU08230001,p_1gezw,97.0
BU08400409,p_1gezw,100.0
BU08450007,p_1gezw,94.0
BU08450200,p_1gezw,90.0
BU08580003,p_1gezw,82.0
BU08610004,p_1gezw,79.0
BU08650102,p_1gezw,81.0
BU08670004,p_1gezw,89.0
BU08670102,p_1gezw,97.0
BU08790400,p_1gezw,84.0
BU08800000,p_1gezw,94.0
BU08800002,p_1gezw,99.0
BU08820012,p_1gezw,96.0
BU08820204,p_1gezw,83.0
BU08880002,p_1gezw,89.0
BU08990124,p_1gezw,88.0
BU09070001,p_1gezw,100.0
BU09172401,p_1gezw,89.0
BU09174101,p_1gezw,90.0
BU09280002,p_1gezw,84.0
BU09350406,p_1gezw,81.0
BU09380200,p_1gezw,91.0
BU09460303,p_1gezw,96.0
BU09570002,p_1gezw,76.0
BU09710200,p_1gezw,82.0
BU09832701,p_1gezw,97.0
BU09834103,p_1gezw,99.0
BU09834401,p_1gezw,91.0
BU09880101,p_1gezw,90.0
BU09880201,p_1gezw,92.0
BU09881301,p_1gezw,73.0
BU09881302,p_1gezw,64.0
BU09883201,p_1gezw,99.0
BU09883202,p_1gezw,97.0
BU09883402,p_1gezw,97.0
BU15070109,p_1gezw,99.0
BU15071500,p_1gezw,100.0
BU15090001,p_1gezw,94.0
BU15090003,p_1gezw,93.0
BU15090105,p_1gezw,88.0
BU15090202,p_1gezw,82.0
BU15810103,p_1gezw,85.0
BU15810400,p_1gezw,87.0
BU16400800,p_1gezw,86.0
BU16550101,p_1gezw,87.0
BU16550501,p_1gezw,94.0
BU16580300,p_1gezw,94.0
BU16590001,p_1gezw,77.0
BU16740201,p_1gezw,82.0
BU16741000,p_1gezw,95.0
BU16760004,p_1gezw,82.0
BU16760509,p_1gezw,99.0
BU16761009,p_1gezw,96.0
BU16761204,p_1gezw,90.0
BU16900209,p_1gezw,89.0
BU16901100,p_1gezw,89.0
BU16950100,p_1gezw,85.0
BU16960100,p_1gezw,90.0
BU16990310,p_1gezw,98.0
BU17011500,p_1gezw,93.0
BU17060200,p_1gezw,99.0
BU17090909,p_1gezw,97.0
BU17140300,p_1gezw,98.0
BU17141300,p_1gezw,93.0
BU17290300,p_1gezw,88.0
BU17300400,p_1gezw,98.0
BU17310201,p_1gezw,95.0
BU17310600,p_1gezw,82.0
BU17310601,p_1gezw,100.0
BU17350003,p_1gezw,84.0
BU17350005,p_1gezw,86.0
BU17730112,p_1gezw,85.0
BU17730320,p_1gezw,96.0
BU17830352,p_1gezw,99.0
BU17830420,p_1gezw,97.0
BU17830710,p_1gezw,88.0
BU18420109,p_1gezw,92.0
BU18760101,p_1gezw,94.0
BU18760201,p_1gezw,93.0
BU18760404,p_1gezw,97.0
BU18910001,p_1gezw,100.0
BU18910009,p_1gezw,97.0
BU18950101,p_1gezw,92.0
BU18950300,p_1gezw,89.0
BU18950905,p_1gezw,92.0
BU18951000,p_1gezw,96.0
BU19000103,p_1gezw,87.0
BU19000120,p_1gezw,97.0
BU19000501,p_1gezw,89.0
BU19001303,p_1gezw,99.0
BU19001501,p_1gezw,97.0
BU19001901,p_1gezw,91.0
BU19030001,p_1gezw,93.0
BU19030400,p_1gezw,88.0
BU19550005,p_1gezw,91.0
BU00500006,p_mgezw,55.0
BU00801007,p_mgezw,96.0
BU01093039,p_mgezw,6.0
BU01094040,p_mgezw,8.0
BU01145100,p_mgezw,5.0
BU01185102,p_mgezw,98.0
BU01530900,p_mgezw,6.0
BU01530901,p_mgezw,11.0
BU01630106,p_mgezw,5.0
BU01630405,p_mgezw,15.0
BU01630603,p_mgezw,73.0
BU01640602,p_mgezw,32.0
BU01710219,p_mgezw,5.0
BU01840007,p_mgezw,14.0
BU01932200,p_mgezw,12.0
BU01933130,p_mgezw,8.0
BU01935000,p_mgezw,8.0
BU01935080,p_mgezw,5.0
BU01970408,p_mgezw,15.0
BU02000301,p_mgezw,7.0
BU02140100,p_mgezw,8.0
BU02140209,p_mgezw,8.0
BU02140408,p_mgezw,6.0
BU02210103,p_mgezw,26.0
BU02220901,p_mgezw,7.0
BU02221104,p_mgezw,6.0
BU02223108,p_mgezw,4.0
BU02430801,p_mgezw,81.0
BU02520006,p_mgezw,8.0
BU02630100,p_mgezw,11.0
BU02630200,p_mgezw,10.0
BU02730003,p_mgezw,18.0
BU02850106,p_mgezw,5.0
BU02930002,p_mgezw,10.0
BU02940001,p_mgezw,22.0
BU02940109,p_mgezw,13.0
BU02970101,p_mgezw,5.0
BU02990400,p_mgezw,5.0
BU03440525,p_mgezw,65.0
BU03440533,p_mgezw,98.0
BU03770001,p_mgezw,75.00000000000001
BU03770003,p_mgezw,11.0
